id,project_id,company_id,amount,currency,description,timeline,status,is_featured,created_date
1,1,2,58000.00,ILS,פתרון אי-קומרס מלא באמצעות React/Node.js עם אינטגרציית Stripe כולל פאנל ניהול ואנליטיקה ואפליקצית מובייל,8-10 שבועות,1,TRUE,2025-11-06 10:00:00
2,1,10,48000.00,ILS,אתר אי-קומרס מבוסס WordPress עם WooCommerce תמה מותאמת אישית ואינטגרציית שער תשלומים כלול,6-8 שבועות,1,FALSE,2025-11-06 10:00:00
3,2,4,96000.00,ILS,אפליקציות iOS ו-Android נייטיב עם React Native אינטגרציית קופה מערכת נאמנות ויכולות סינכרון לא מקוון,12-14 שבועות,1,TRUE,2025-11-06 10:00:00
4,2,2,112000.00,ILS,פתרון אפליקציה מובייל פרימיום עם תכונות מתקדמות אנימציות מותאמות אישית ובדיקות מקיפות,14-16 שבועות,1,FALSE,2025-11-06 10:00:00
5,3,3,19200.00,ILS,חבילת מותג מלאה עם 3 קונספטים ללוגו מדריך סגנון מלא וכל חומרי הדפסה כולל 2 סיבובי תיקונים,3-4 שבועות,1,TRUE,2025-11-06 10:00:00
6,3,10,14000.00,ILS,חבילת מיתוג מקצועית עם גישת עיצוב מודרני לוגו כרטיסי ביקור ונכסים דיגיטליים כלולים,2-3 שבועות,1,FALSE,2025-11-06 10:00:00
7,4,6,30000.00,ILS,אסטרטגיית קידום אתרים ושיווק תוכן מקיפה דיווח חודשי ואופטימיזציה שוטפת כלולים,6 חודשים,1,TRUE,2025-11-06 10:00:00
8,5,5,46000.00,ILS,דשבורד אנליטיקה מותאם אישית באמצעות Python/Django עם ויזואליזציית נתונים בזמן אמת ורספונסיביות למובייל,6-8 שבועות,1,TRUE,2025-11-06 10:00:00
9,5,2,52000.00,ILS,דשבורד מתקדם עם תובנות מבוססות AI אנליטיקה חזויה ותכונות דיווח מותאמות אישית,8-10 שבועות,1,FALSE,2025-11-06 10:00:00
10,7,10,16800.00,ILS,צילום מוצרים מקצועי עם תאורת סטודיו כולל עריכה בסיסית וזוויות מרובות לכל מוצר,2-3 שבועות,1,FALSE,2025-11-06 10:00:00
